State,City,City Population,Median Age (Years),Zip Codes,Median Income,Cost Of Living,Female Population,Male Population
alabama,tuskegee ,"8,544",25.4,36088,"$28,284 ", 78.3 /100,57.00%,43.00%
alabama,bay minette ,"9,169",32.7,36507,"$32,966 ", 81.0 /100,48.10%,51.90%
alabama,atmore ,"9,890",39.9,36502,"$29,453 ", 79.6 /100,42.60%,57.40%
alabama,opp ,"6,468",43.8,36467,"$34,185 ", 78.3 /100,55.30%,44.70%
alabama,foley ,"18,288",50.2,36535,"$44,714 ", 82.9 /100,53.30%,46.70%
alabama,ozark ,"14,428",43.7,36360,"$40,090 ", 78.6 /100,54.60%,45.40%
alabama,southside ,"8,731",43.7,35907,"$67,676 ", 82.1 /100,53.40%,46.60%
alabama,vinemont ,"9,008",37.6,35179,"$47,560 ", 84.5 /100,50.10%,49.90%
alabama,florence ,"39,852",36.6,35630,"$38,234 ", 81.9 /100,54.10%,45.90%
alabama,opelika ,"30,240",38.7,36801,"$49,563 ", 83.1 /100,54.10%,45.90%
alabama,prichard ,"21,732",34.9,36612,"$25,943 ", 82.8 /100,54.30%,45.70%
alabama,gadsden ,"35,409",40.7,35905,"$30,566 ", 80.4 /100,52.10%,47.90%
alabama,clanton ,"8,756",39.5,35045,"$43,425 ", 86.0 /100,53.60%,46.40%
alabama,bessemer ,"26,386",40.5,35020,"$32,189 ", 86.6 /100,53.40%,46.60%
alabama,lincoln ,"6,664",42.4,35096,"$58,942 ", 81.6 /100,50.10%,49.90%
alabama,wetumpka ,"8,148",38.1,36092,"$46,011 ", 85.2 /100,62.00%,38.00%
alabama,dothan ,"68,202",37.3,36305,"$44,280 ", 81.0 /100,53.00%,47.00%
alabama,mountain brook ,"20,381",40.7,35223,"$136,563 ", 91.1 /100,50.90%,49.10%
alabama,hoover ,"84,920",41,35216,"$84,054 ", 88.7 /100,52.50%,47.50%
alabama,tuscumbia ,"8,398",37.4,35674,"$49,754 ", 80.9 /100,53.00%,47.00%
alabama,valley ,"9,259",34.2,36854,"$38,724 ", 79.9 /100,50.70%,49.30%
alabama,trussville ,"21,827",39.7,35173,"$89,878 ", 89.2 /100,53.60%,46.40%
alabama,auburn ,"63,973",24.7,36801,"$47,418 ", 85.2 /100,51.00%,49.00%
alabama,selma ,"18,370",37.3,36701,"$25,084 ", 79.6 /100,55.70%,44.30%
alabama,pinson ,"7,532",43,35126,"$63,015 ", 87.5 /100,55.60%,44.40%
alabama,madison ,"48,861",38.4,35758,"$93,692 ", 83.2 /100,50.80%,49.20%
alabama,phenix city ,"36,219",32.6,36867,"$41,063 ", 83.8 /100,52.90%,47.10%
alabama,concord hopkins ,"7,259",39.3,35023,"$70,948 ", 87.3 /100,50.90%,49.10%
alabama,fultondale ,"9,190",38.3,35071,"$59,687 ", 87.8 /100,52.30%,47.70%
alabama,prattville ,"35,498",37.3,36067,"$61,269 ", 85.8 /100,51.30%,48.70%
alabama,tuscaloosa ,"100,287",28.6,35405,"$47,243 ", 86.2 /100,52.30%,47.70%
alabama,jacksonville ,"12,612",26.9,36265,"$42,830 ", 81.0 /100,52.40%,47.60%
alabama,troy ,"19,037",25.9,36082,"$31,623 ", 82.6 /100,53.30%,46.70%
alabama,talladega ,"15,426",39.1,35160,"$30,143 ", 77.4 /100,50.40%,49.60%
alabama,leeds ,"12,031",38.7,35004,"$64,540 ", 86.7 /100,50.80%,49.20%
alabama,anniston ,"21,770",43.3,36201,"$34,329 ", 80.6 /100,54.70%,45.30%
alabama,sylacauga ,"12,264",35.1,35149,"$36,032 ", 79.0 /100,53.40%,46.60%
alabama,moody ,"12,956",37.7,35004,"$58,158 ", 86.9 /100,52.40%,47.60%
alabama,chelsea ,"13,011",34.8,35043,"$95,245 ", 85.2 /100,51.30%,48.70%
alabama,center point ,"16,313",33.3,35215,"$40,252 ", 87.0 /100,56.10%,43.90%
alabama,montgomery ,"199,518",36,36043,"$42,419 ", 84.7 /100,53.30%,46.70%
alaska,kalifornsky alaska.html," 7,850. Population change since 2000: +34.3",33.7,99611,"$77,855 ", 107.0 /100,48.60%,51.40%
alaska,sitka alaska.html,"8,689",40.1,99835,"$73,649 ", 91.3 /100,49.00%,51.00%
alaska,meadow lakes alaska.html," 7,570. Population change since 2000: +57.1",33.5,99654,"$55,369 ", 106.7 /100,48.10%,51.90%
alaska,tanaina alaska.html," 8,197. Population change since 2000: +64.2",30.7,99654,"$87,028 ", 102.1 /100,45.90%,54.10%
alaska,palmer alaska.html,"7,209",30.7,99645,"$61,497 ", 101.8 /100,49.10%,50.90%
alaska,wasilla alaska.html,"10,151",34.3,99654,"$65,079 ", 102.9 /100,49.80%,50.20%
alaska,fairbanks alaska.html,"31,644",27.7,99703,"$63,456 ", 104.4 /100,47.40%,52.60%
alaska,anchorage alaska.html,"294,356",34,99501,"$79,166 ", 103.4 /100,49.20%,50.80%
arizona,apache arizona.html,"11,958",21.3,85929,"$27,786 ", 84.7 /100,52.10%,47.90%
arizona,arivaca arizona.html,"59,243",45.9,85629,"$52,845 ", 93.6 /100,52.20%,47.80%
arizona,arizona city arizona.html," 10,475. Population change since 2000: +138.9",34.3,85123,"$55,108 ", 93.9 /100,51.40%,48.60%
arizona,humboldt arizona.html,"6,646",45.6,86333,"$47,979 ", 90.0 /100,49.70%,50.30%
arizona,little colorado arizona.html,"19,982",30.5,86032,"$44,966 ", 89.8 /100,48.10%,51.90%
arizona,gila river arizona.html,"14,341",23.3,85247,"$29,071 ", 89.3 /100,52.80%,47.20%
arizona,fort mohave arizona.html,"14,364",51.5,nan," $42,311
Fort Mohave:$42,311AZ:$56,581
Estimated per capita income in 2017: $25,212
Fort Mohave CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $157,100
Fort Mohave:$157,100AZ:$223,400
Mean prices in 2017: all housing units: $170,175; detached houses: $197,714; mobile homes: $62,87", 88.6 /100,51.70%,48.30%
arizona,mingus mountain arizona.html,"30,649",42.4,86326,"$46,365 ", 99.5 /100,52.60%,47.40%
arizona,indian wells arizona.html,"8,247",24.8,86031,"$24,557 ", 85.9 /100,50.50%,49.50%
arizona,western arizona.html,"11,873",23.4,86033,"$35,244 ", 83.2 /100,51.20%,48.80%
arizona,rio rico arizona.html,"18,962",33,85640," $41,447
Rio Rico:$41,447AZ:$56,581
Estimated per capita income in 2017: $19,267
Rio Rico CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $189,502
Rio Rico:$189,502AZ:$223,40", 86.1 /100,52.20%,47.80%
arizona,deer valley arizona.html,"186,030",36.5,85027,"$93,946 ", 103.3 /100,50.00%,50.00%
arizona,fortuna foothills arizona.html," 26,265. Population change since 2000: +28.3",61.8,85367,"$49,638 ", 90.0 /100,49.30%,50.70%
arizona,bullhead city arizona.html,"40,252",53,86426,"$40,566 ", 87.6 /100,52.20%,47.80%
arizona,new kingman butler arizona.html," 12,134. Population change since 2000: -18.1",44.2,86401,"$34,789 ", 86.9 /100,48.80%,51.20%
arizona,gilbert arizona.html,"242,354",34.4,85142,"$84,699 ", 95.6 /100,50.90%,49.10%
arizona,globe arizona.html,"7,356",45.2,85501,"$46,136 ", 85.9 /100,49.40%,50.60%
arizona,golden valley arizona.html," 8,370. Population change since 2000: +85.4",57.4,86413,"$37,393 ", 84.8 /100,48.60%,51.40%
arizona,flagstaff arizona.html,"71,975",26.5,86001,"$56,059 ", 99.6 /100,49.10%,50.90%
arizona,cottonwood arizona.html,"12,023",47.7,86326,"$39,349 ", 93.4 /100,52.20%,47.80%
arizona,prescott valley arizona.html,"44,466",45.2,86314,"$49,238 ", 92.7 /100,52.90%,47.10%
arizona,el mirage arizona.html,"35,216",29.4,85307,"$46,385 ", 94.6 /100,50.10%,49.90%
arizona,lake havasu city arizona.html,"54,411",54.7,86406,"$48,993 ", 88.6 /100,51.40%,48.60%
arizona,eloy arizona.html,"19,168",35.3,85141,"$39,040 ", 92.0 /100,28.00%,72.00%
arizona,oro valley arizona.html,"44,350",52.4,85737,"$85,392 ", 91.3 /100,52.00%,48.00%
arizona,village of oak creek big park arizona.html,"6,147",66.1,86351," $50,041
Village of Oak Creek ",/100,55.40%,44.60%
arizona,florence arizona.html,"26,074",42.2,85232,"$53,548 ", 93.2 /100,26.60%,73.40%
arizona,verde village arizona.html,"11,605",43.8,nan," $50,041
Verde Village:$50,041AZ:$56,581
Estimated per capita income in 2017: $28,335
Verde Village CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $260,900
Verde Village:$260,900AZ:$223,400
Mean prices in 2017: all housing units: $202,775; detached houses: $215,812; townhouses or other attached units: $200,765; mobile homes: $92,90", 92.3 /100,51.90%,48.10%
arizona,phoenix arizona.html,"1,626,078",33.8,85003,"$56,696 ", 95.2 /100,50.10%,49.90%
arizona,paradise valley arizona.html,"14,293",54.3,85016," over $200,000 ", 103.3 /100,49.30%,50.70%
arizona,sedona arizona.html,"10,336",60,86336,"$63,195 ", 103.1 /100,52.20%,47.80%
arizona,somerton arizona.html,"16,120",28.4,85350,"$38,599 ", 87.7 /100,52.20%,47.80%
arizona,casas adobes arizona.html,"73,668",38.3,85704,"$65,029 ", 90.7 /100,53.00%,47.00%
arizona,fountain hills arizona.html,"24,583",57.9,85259,"$84,530 ", 98.0 /100,52.10%,47.90%
arizona,flowing wells arizona.html," 16,419. Population change since 2000: +9.1",40.6,85705,"$37,098 ", 88.4 /100,51.30%,48.70%
arizona,buckeye arizona.html,"68,453",33.5,85326,"$74,970 ", 94.1 /100,45.40%,54.60%
arizona,surprise arizona.html,"134,085",44.3,85388,"$65,898 ", 95.1 /100,51.50%,48.50%
arizona,wickenburg arizona.html,"7,409",60.5,85390,"$43,509 ", 95.7 /100,52.00%,48.00%
arizona,sierra vista southeast arizona.html," 14,797. Population change since 2000: +3.1",48.9,85650,"$74,516 ", 84.9 /100,53.50%,46.50%
arizona,goodyear arizona.html,"79,858",38.5,85338,"$87,481 ", 95.3 /100,53.10%,46.90%
arizona,queen creek arizona.html,"39,184",32.6,85140,"$87,388 ", 95.8 /100,49.20%,50.80%
arizona,tolleson arizona.html,"7,205",30.9,85353,"$53,190 ", 93.4 /100,52.40%,47.60%
arizona,prescott arizona.html,"42,731",57.8,86301,"$50,822 ", 94.5 /100,51.10%,48.90%
arizona,new river arizona.html," 14,952. Population change since 2000: +39.2",50.1,85085,"$85,474 ", 97.7 /100,49.40%,50.60%
arizona,san luis arizona.html,"32,446",28.4,85349,"$33,396 ", 88.1 /100,47.30%,52.70%
arizona,scottsdale arizona.html,"249,950",46,85257,"$88,407 ", 98.6 /100,49.60%,50.40%
arizona,tucson estates arizona.html," 12,192. Population change since 2000: +25.0",54,85735,"$50,621 ", 89.8 /100,52.20%,47.80%
arizona,chandler arizona.html,"253,458",37.3,85044,"$76,860 ", 95.5 /100,50.30%,49.70%
arizona,picture rocks arizona.html," 9,563. Population change since 2000: +17.5",47.3,85743,"$55,309 ", 84.8 /100,50.70%,49.30%
arizona,verde arizona.html,"39,532",46.9,86351,"$51,906 ", 97.5 /100,51.70%,48.30%
arizona,tucson arizona.html,"535,677",34.1,85701,"$41,613 ", 89.2 /100,50.10%,49.90%
arizona,yuma arizona.html,"95,502",32.2,85365,"$50,195 ", 88.6 /100,52.10%,47.90%
arizona,glendale arizona.html,"246,709",32.4,85031,"$53,753 ", 94.7 /100,51.00%,49.00%
arkansas,batesville arkansas.html,"10,727",37.5,72501,"$45,069 ", 79.6 /100,49.80%,50.20%
arkansas,arkadelphia arkansas.html,"10,650",23.9,71923,"$32,269 ", 79.6 /100,52.50%,47.50%
arkansas,de queen arkansas.html,"6,591",27.7,71832,"$41,823 ", 77.8 /100,50.50%,49.50%
arkansas,forrest city arkansas.html,"14,291",35.2,72335,"$32,292 ", 77.9 /100,40.00%,60.00%
arkansas,hope arkansas.html,"9,790",36.2,71801,"$34,139 ", 79.1 /100,57.40%,42.60%
arkansas,harrison arkansas.html,"13,079",36.6,72601,"$39,003 ", 79.5 /100,54.10%,45.90%
arkansas,hot springs village arkansas.html," 12,807. Population change since 2000: +52.5",69,71949,"$63,024 ", 84.3 /100,52.10%,47.90%
arkansas,west helena arkansas.html,"7,249",30,72390,"$26,521 ", 85.1 /100,55.30%,44.70%
arkansas,mountain home arkansas.html,"12,332",49.5,72653,"$39,302 ", 81.4 /100,54.40%,45.60%
arkansas,centerton arkansas.html,"14,001",30.3,72719,"$71,330 ", 83.3 /100,51.10%,48.90%
arkansas,russellville arkansas.html,"29,318",27.9,72801,"$36,951 ", 82.2 /100,50.70%,49.30%
arkansas,el dorado arkansas.html,"18,030",36,71730,"$39,119 ", 79.2 /100,51.90%,48.10%
arkansas,magnolia arkansas.html,"11,467",27.3,71753,"$36,359 ", 81.0 /100,56.10%,43.90%
arkansas,hot springs arkansas.html,"36,915",41.8,71913,"$35,474 ", 81.9 /100,53.50%,46.50%
arkansas,greenwood arkansas.html,"9,405",36.1,72936,"$63,810 ", 78.8 /100,51.90%,48.10%
arkansas,farmington arkansas.html,"6,893",36.1,72704,"$53,646 ", 83.2 /100,52.50%,47.50%
arkansas,west memphis arkansas.html,"24,860",33.8,72301,"$31,514 ", 85.1 /100,53.60%,46.40%
arkansas,wynne arkansas.html,"7,962",36.3,72396,"$43,284 ", 79.2 /100,53.00%,47.00%
arkansas,little rock arkansas.html,"198,606",36.2,72135,"$57,534 ", 85.1 /100,51.40%,48.60%
arkansas,bentonville arkansas.html,"49,298",33,72758,"$82,461 ", 82.9 /100,48.40%,51.60%
arkansas,siloam springs arkansas.html,"16,842",28.9,72761,"$47,830 ", 82.1 /100,52.60%,47.40%
arkansas,texarkana arkansas.html,"30,259",38.7,71854,"$39,875 ", 81.3 /100,50.60%,49.40%
arkansas,marion arkansas.html,"12,440",34.6,72364,"$75,126 ", 85.4 /100,52.80%,47.20%
arkansas,fort smith arkansas.html,"88,037",37.2,72901,"$38,294 ", 79.4 /100,52.00%,48.00%
arkansas,rogers arkansas.html,"66,430",32.2,72758,"$60,527 ", 82.8 /100,52.50%,47.50%
arkansas,pine bluff arkansas.html,"42,984",34.6,71601,"$32,539 ", 79.8 /100,51.40%,48.60%
arkansas,heber springs arkansas.html,"6,967",41.6,72543,"$42,405 ", 81.4 /100,50.80%,49.20%
arkansas,springdale arkansas.html,"79,599",32.6,72764,"$51,152 ", 82.0 /100,49.00%,51.00%
arkansas,jacksonville arkansas.html,"28,513",33,72076,"$49,623 ", 84.3 /100,53.70%,46.30%
arkansas,van buren arkansas.html,"23,509",33.6,72956,"$42,659 ", 79.5 /100,53.20%,46.80%
arkansas,newport arkansas.html,"7,690",36.8,72112,"$30,227 ", 78.6 /100,57.70%,42.30%
arkansas,malvern arkansas.html,"10,839",38.3,72104,"$32,995 ", 80.0 /100,43.90%,56.10%
arkansas,sherwood arkansas.html,"31,081",38.9,72120,"$65,546 ", 84.2 /100,51.70%,48.30%
arkansas,conway arkansas.html,"65,782",28.5,72032,"$43,182 ", 85.2 /100,52.30%,47.70%
arkansas,pocahontas arkansas.html,"6,496",37.8,72455,"$36,446 ", 78.0 /100,53.50%,46.50%
california,central shasta california.html,"11,467",44.6,96069,"$56,384 ", 103.4 /100,48.80%,51.20%
california,east contra costa california.html,"78,216",33.5,94513,"$102,509 ", 158.1 /100,49.80%,50.20%
california,carpinteria valley california.html,"19,142",37.7,93013,"$80,711 ", 133.9 /100,49.90%,50.10%
california,castaic california.html,"19,015",37.3,91384," $65,006
Castaic:$65,006CA:$71,805
Estimated per capita income in 2017: $32,413
Castaic CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $588,700
Castaic:$588,700CA:$509,400
Mean prices in 2017: all housing units: $548,627; detached houses: $568,043; townhouses or other attached units: $446,532; in 3-to-4-unit structures: $245,026; in 5-or-more-unit structures: $193,392; mobile homes: $64,79", 128.2 /100,50.80%,49.20%
california,camp pendleton south california.html," 10,616. Population change since 2000: +19.9",22.5,92054,"$46,517 ", 143.4 /100,43.20%,56.80%
california,colfax summit california.html,"24,007",41,nan,"$75,666 ", 109.5 /100,49.00%,51.00%
california,bonadelle ranchos madera ranchos california.html," 8,569. Population change since 2000: +17.4",44.6,93636,"$86,891 ", 96.9 /100,49.80%,50.20%
california,antelope california.html,"45,770",34,95621," $63,045
Antelope:$63,045CA:$71,805
Estimated per capita income in 2017: $31,449
Antelope CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $353,400
Antelope:$353,400CA:$509,400
Mean prices in 2017: all housing units: $329,305; detached houses: $334,634; townhouses or other attached units: $409,550; in 3-to-4-unit structures: $137,569; in 5-or-more-unit structures: $208,538; mobile homes: $220,88", 99.9 /100,52.10%,47.90%
california,azusa california.html,"49,864",29.8,91010,"$61,504 ", 137.8 /100,52.30%,47.70%
california,bonita california.html," 12,538. Population change since 2000: +1.1",42.3,91902,"$101,078 ", 138.4 /100,50.00%,50.00%
california,cherryland california.html," 14,728. Population change since 2000: +6.4",35.1,94541,"$65,847 ", 149.2 /100,48.60%,51.40%
california,east los angeles california.html,"125,542",31.8,90032,"$43,231 ", 143.2 /100,49.60%,50.40%
california,cherry valley california.html," 6,362. Population change since 2000: +8.0",50.6,92399,"$56,898 ", 80.7 /100,53.20%,46.80%
california,burlingame california.html,"30,686",40.7,94010,"$130,721 ", 184.1 /100,53.30%,46.70%
california,canyon lake california.html,"11,223",45.1,92532,"$94,060 ", 82.4 /100,47.10%,52.90%
california,california city california.html,"13,972",33.9,93501,"$44,315 ", 89.1 /100,42.60%,57.40%
california,calabasas california.html,"24,202",44.1,90290,"$121,609 ", 144.5 /100,52.30%,47.70%
california,del aire california.html," 10,001. Population change since 2000: +11.0",34.8,90045,"$89,585 ", 143.0 /100,47.30%,52.70%
california,antioch california.html,"111,674",36.2,94509,"$70,696 ", 142.1 /100,50.80%,49.20%
california,bloomington california.html," 23,851. Population change since 2000: +23.5",33.4,92316,"$53,681 ", 81.7 /100,49.10%,50.90%
california,aptos california.html," 6,220. Population change since 2000: -33.8",48.5,95003,"$91,495 ", 164.1 /100,51.90%,48.10%
california,belmont california.html,"27,140",39.9,94002,"$139,054 ", 171.0 /100,50.90%,49.10%
california,el sobrante california.html," 12,669. Population change since 2000: +3.3",41.1,94803,"$80,273 ", 145.5 /100,49.30%,50.70%
california,brea california.html,"42,777",38.3,90631,"$95,026 ", 87.6 /100,51.30%,48.70%
california,diamond springs california.html," 11,037. Population change since 2000: +125.8",50.6,95619,"$55,368 ", 101.9 /100,53.20%,46.80%
california,blythe california.html,"19,630",38,92225,"$41,895 ", 80.1 /100,34.50%,65.50%
california,florence graham california.html,"68,095",27.9,90001,"$43,730 ", 142.0 /100,48.80%,51.20%
california,garden acres california.html," 10,648. Population change since 2000: +9.2",31,95215,"$43,034 ", 97.5 /100,47.60%,52.40%
california,gardena california.html,"60,224",41.3,90247,"$54,130 ", 142.2 /100,52.50%,47.50%
california,downey california.html,"113,092",34.7,90240,"$72,178 ", 138.8 /100,51.20%,48.80%
california,boyes hot springs california.html," 6,656. Population change since 2000: -0.1",35.7,95476,"$71,366 ", 149.3 /100,48.20%,51.80%
california,davis california.html,"68,986",25.1,95616,"$72,800 ", 107.5 /100,54.60%,45.40%
california,fairfield california.html,"116,266",34.7,94533,"$81,231 ", 136.7 /100,50.00%,50.00%
california,grand terrace california.html,"12,595",38.4,92313,"$69,158 ", 81.6 /100,52.00%,48.00%
california,grass valley california.html,"12,987",45,95945,"$37,927 ", 103.5 /100,55.00%,45.00%
california,east pasadena california.html," 6,144. Population change since 2000: +1.6",41.4,91107,"$98,948 ", 144.4 /100,48.90%,51.10%
california,fullerton california.html,"140,392",36.4,92831,"$77,385 ", 88.7 /100,48.00%,52.00%
california,jurupa california.html,"112,225",30,92509,"$65,298 ", 85.8 /100,49.50%,50.50%
california,hermosa beach california.html,"19,708",40.2,90254,"$133,015 ", 153.1 /100,49.00%,51.00%
california,alameda california.html,"79,177",38.9,94501,"$89,979 ", 157.7 /100,55.00%,45.00%
california,franklin california.html,"6,149",31.1,95348," $63,045
Franklin:$63,045CA:$71,805
Estimated per capita income in 2017: $31,449
Franklin CDP income, earnings, and wages data
Estimated median house or condo value in 2017: $353,400
Franklin:$353,400CA:$509,400
Mean prices in 2017: all housing units: $381,137; detached houses: $400,206; townhouses or other attached units: $280,435; in 2-unit structures: $334,868; in 3-to-4-unit structures: $257,611; in 5-or-more-unit structures: $275,727; mobile homes: $81,002; occupied boats, rvs, vans, etc.: $41,31", 98.5 /100,49.00%,51.00%
california,isla vista california.html," 23,096. Population change since 2000: +25.9",20.7,93117,"$24,608 ", 125.7 /100,50.80%,49.20%
california,ladera heights california.html," 6,498. Population change since 2000: -1.1",49.8,90008,"$107,903 ", 145.3 /100,54.20%,45.80%
california,arden arcade california.html,"100,573",35.5,95608,"$48,812 ", 104.4 /100,51.30%,48.70%
california,cambria california.html," 6,032. Population change since 2000: -3.2",62.4,93428,"$70,396 ", 111.7 /100,52.80%,47.20%
california,lake mathews california.html,"21,561",34.6,92570,"$72,580 ", 86.4 /100,49.30%,50.70%
california,chowchilla california.html,"18,558",35.4,93610,"$43,547 ", 93.8 /100,55.70%,44.30%
california,brentwood california.html,"62,433",39.3,94513,"$104,489 ", 143.9 /100,51.00%,49.00%
california,beaumont california.html,"46,967",35.6,92320,"$75,361 ", 80.7 /100,51.40%,48.60%
california,inglewood california.html,"110,598",36.5,90301,"$51,456 ", 143.7 /100,51.40%,48.60%
california,lemoore station california.html," 7,438. Population change since 2000: +29.4",22.8,93245,"$54,296 ", 95.0 /100,45.60%,54.40%
california,lamont california.html," 15,120. Population change since 2000: +13.7",26.7,93241,"$37,559 ", 90.5 /100,48.40%,51.60%
california,marysville rural california.html,"7,361",41.7,95901,"$88,772 ", 105.1 /100,50.00%,50.00%
california,laguna beach california.html,"23,147",50.9,92637,"$123,858 ", 95.3 /100,49.90%,50.10%
california,loomis basin folsom lake california.html,"89,014",37.6,95650,"$99,170 ", 113.8 /100,50.50%,49.50%
california,live oak california.html," 17,158. Population change since 2000: +3.2",39.5,95065,"$78,587 ", 164.6 /100,53.10%,46.90%
california,bellflower california.html,"77,772",35.8,90706,"$60,233 ", 139.6 /100,50.40%,49.60%
california,loomis california.html,"6,809",43.3,95663,"$75,917 ", 102.8 /100,53.10%,46.90%
california,lakewood california.html,"80,967",38.6,90712,"$83,485 ", 140.5 /100,53.00%,47.00%
california,fairview california.html," 10,003. Population change since 2000: +5.6",43.3,94542,"$103,684 ", 147.8 /100,51.60%,48.40%
california,chula vista california.html,"270,471",35.5,91911,"$77,273 ", 135.8 /100,51.80%,48.20%
california,mcfarland california.html,"15,093",26,93250,"$34,398 ", 92.1 /100,45.20%,54.80%
california,long beach california.html,"469,450",35.3,90731,"$60,557 ", 142.8 /100,51.60%,48.40%
california,covina california.html,"48,462",36.9,91723,"$72,779 ", 137.9 /100,52.00%,48.00%
california,oakhurst north fork california.html,"30,244",45.2,93614,"$55,642 ", 104.7 /100,51.10%,48.90%
