,name,state,categories,lat,long,city,Active Life,Arts & Entertainment,Automotive,Beauty & Spas,Education,Event Planning & Services,Financial Services,Food,Health & Medical,Home Services,Hotels & Travel,Local Flavor,Local Services,Mass Media,Nightlife,Pets,Professional Services,Religious Organizations,Restaurants,Shopping
"Mesa, AZ",mesa,arizona,"Counter({'Restaurants': 116694, 'Shopping': 101050, 'Home Services': 92161, 'Health & Medical': 78969, 'Beauty & Spas': 65779, 'Food': 64773, 'Local Services': 54998, 'Automotive': 49460, 'Active Life': 32265, 'Event Planning & Services': 27457, 'Professional Services': 27426, 'Nightlife': 26002, 'Arts & Entertainment': 15098, 'Hotels & Travel': 15025, 'Financial Services': 14453, 'Education': 13491, 'Pets': 13267, 'Local Flavor': 3686, 'Religious Organizations': 2297, 'Mass Media': 1135})",33.39100266,-111.8436203,mesa,32265,15098,49460,65779,13491,27457,14453,64773,78969,92161,15025,3686,54998,1135,26002,13267,27426,2297,116694,101050
"Henderson, NV",henderson,nevada,"Counter({'Restaurants': 17903, 'Shopping': 14210, 'Home Services': 11533, 'Food': 10144, 'Health & Medical': 9980, 'Beauty & Spas': 9426, 'Local Services': 7542, 'Automotive': 6537, 'Nightlife': 5147, 'Event Planning & Services': 4926, 'Active Life': 4708, 'Professional Services': 4440, 'Arts & Entertainment': 3982, 'Hotels & Travel': 3044, 'Financial Services': 2361, 'Education': 1842, 'Pets': 1573, 'Local Flavor': 721, 'Religious Organizations': 329, 'Mass Media': 192})",35.9911594,-115.1084553,henderson,4708,3982,6537,9426,1842,4926,2361,10144,9980,11533,3044,721,7542,192,5147,1573,4440,329,17903,14210
"Gilbert, AZ",gilbert,arizona,"Counter({'Restaurants': 198270, 'Shopping': 171613, 'Home Services': 156610, 'Health & Medical': 134182, 'Beauty & Spas': 111801, 'Food': 110107, 'Local Services': 93417, 'Automotive': 83780, 'Active Life': 54865, 'Event Planning & Services': 46706, 'Professional Services': 46645, 'Nightlife': 44202, 'Arts & Entertainment': 25682, 'Hotels & Travel': 25520, 'Financial Services': 24570, 'Education': 22952, 'Pets': 22538, 'Local Flavor': 6286, 'Religious Organizations': 3912, 'Mass Media': 1930})",33.278251,-111.77746,gilbert,54865,25682,83780,111801,22952,46706,24570,110107,134182,156610,25520,6286,93417,1930,44202,22538,46645,3912,198270,171613
"Westlake, OH",westlake,ohio,"Counter({'Restaurants': 9288, 'Food': 4409, 'Shopping': 4109, 'Nightlife': 2518, 'Beauty & Spas': 2177, 'Automotive': 1940, 'Home Services': 1703, 'Event Planning & Services': 1607, 'Local Services': 1533, 'Health & Medical': 1381, 'Active Life': 1217, 'Hotels & Travel': 935, 'Arts & Entertainment': 894, 'Pets': 702, 'Professional Services': 405, 'Education': 293, 'Local Flavor': 160, 'Financial Services': 157, 'Religious Organizations': 58, 'Mass Media': 24})",41.4227938,-81.9622151,westlake,1217,894,1940,2177,293,1607,157,4409,1381,1703,935,160,1533,24,2518,702,405,58,9288,4109
"Belmont, NC",belmont,north carolina,"Counter({'Restaurants': 12421, 'Shopping': 6895, 'Food': 6440, 'Beauty & Spas': 4370, 'Home Services': 4048, 'Health & Medical': 3286, 'Automotive': 3270, 'Local Services': 2984, 'Nightlife': 2553, 'Event Planning & Services': 2374, 'Active Life': 2209, 'Hotels & Travel': 1310, 'Arts & Entertainment': 1187, 'Pets': 1172, 'Professional Services': 1020, 'Education': 621, 'Financial Services': 420, 'Local Flavor': 332, 'Religious Organizations': 122, 'Mass Media': 33})",35.2430984,-81.0374682,belmont,2209,1187,3270,4370,621,2374,420,6440,3286,4048,1310,332,2984,33,2553,1172,1020,122,12421,6895
"Bethel Park, PA",bethel park,pennsylvania,"Counter({'Restaurants': 5507, 'Food': 2775, 'Shopping': 2530, 'Nightlife': 1350, 'Beauty & Spas': 1315, 'Automotive': 1167, 'Home Services': 1156, 'Local Services': 921, 'Health & Medical': 919, 'Event Planning & Services': 871, 'Active Life': 775, 'Arts & Entertainment': 484, 'Hotels & Travel': 469, 'Pets': 402, 'Professional Services': 250, 'Education': 197, 'Local Flavor': 137, 'Financial Services': 124, 'Religious Organizations': 54, 'Mass Media': 19})",40.3268447,-80.0421841,bethel park,775,484,1167,1315,197,871,124,2775,919,1156,469,137,921,19,1350,402,250,54,5507,2530
"Cleveland, OH",cleveland,ohio,"Counter({'Restaurants': 35202, 'Food': 16620, 'Shopping': 15222, 'Nightlife': 9599, 'Beauty & Spas': 7988, 'Automotive': 7198, 'Home Services': 6425, 'Event Planning & Services': 6094, 'Local Services': 5632, 'Health & Medical': 5018, 'Active Life': 4513, 'Hotels & Travel': 3551, 'Arts & Entertainment': 3396, 'Pets': 2578, 'Professional Services': 1517, 'Education': 1123, 'Local Flavor': 622, 'Financial Services': 599, 'Religious Organizations': 212, 'Mass Media': 93})",41.51355439,-81.61375165,cleveland,4513,3396,7198,7988,1123,6094,599,16620,5018,6425,3551,622,5632,93,9599,2578,1517,212,35202,15222
"North Olmsted, OH",north olmsted,ohio,"Counter({'Restaurants': 52474, 'Food': 24844, 'Shopping': 23049, 'Nightlife': 14181, 'Beauty & Spas': 12165, 'Automotive': 10865, 'Home Services': 9654, 'Event Planning & Services': 9095, 'Local Services': 8501, 'Health & Medical': 7663, 'Active Life': 6827, 'Hotels & Travel': 5267, 'Arts & Entertainment': 4994, 'Pets': 3941, 'Professional Services': 2272, 'Education': 1668, 'Local Flavor': 908, 'Financial Services': 892, 'Religious Organizations': 316, 'Mass Media': 133})",41.4183507,-81.911148,north olmsted,6827,4994,10865,12165,1668,9095,892,24844,7663,9654,5267,908,8501,133,14181,3941,2272,316,52474,23049
"Newmarket, ON",newmarket,ON,"Counter({'Restaurants': 85892, 'Food': 41692, 'Shopping': 30206, 'Beauty & Spas': 19379, 'Nightlife': 14648, 'Health & Medical': 9705, 'Event Planning & Services': 9403, 'Local Services': 8688, 'Active Life': 7972, 'Automotive': 7402, 'Home Services': 5789, 'Arts & Entertainment': 5159, 'Hotels & Travel': 4814, 'Pets': 3471, 'Professional Services': 2675, 'Education': 2401, 'Local Flavor': 1154, 'Financial Services': 987, 'Mass Media': 194, 'Religious Organizations': 175})",44.0587654,-79.4291147,newmarket,7972,5159,7402,19379,2401,9403,987,41692,9705,5789,4814,1154,8688,194,14648,3471,2675,175,85892,30206
"Litchfield Park, AZ",litchfield park,arizona,"Counter({'Restaurants': 130355, 'Shopping': 112694, 'Home Services': 102473, 'Health & Medical': 88107, 'Beauty & Spas': 73626, 'Food': 72346, 'Local Services': 61252, 'Automotive': 54879, 'Active Life': 35954, 'Event Planning & Services': 30735, 'Professional Services': 30616, 'Nightlife': 29232, 'Arts & Entertainment': 16956, 'Hotels & Travel': 16866, 'Financial Services': 16119, 'Education': 15039, 'Pets': 14803, 'Local Flavor': 4144, 'Religious Organizations': 2573, 'Mass Media': 1280})",33.5063725,-112.3587447,litchfield park,35954,16956,54879,73626,15039,30735,16119,72346,88107,102473,16866,4144,61252,1280,29232,14803,30616,2573,130355,112694
"West Mifflin, PA",west mifflin,pennsylvania,"Counter({'Restaurants': 10960, 'Food': 5517, 'Shopping': 5024, 'Nightlife': 2691, 'Beauty & Spas': 2608, 'Automotive': 2316, 'Home Services': 2284, 'Local Services': 1825, 'Health & Medical': 1819, 'Event Planning & Services': 1738, 'Active Life': 1539, 'Arts & Entertainment': 965, 'Hotels & Travel': 937, 'Pets': 799, 'Professional Services': 498, 'Education': 393, 'Local Flavor': 273, 'Financial Services': 247, 'Religious Organizations': 107, 'Mass Media': 38})",40.376674,-79.88248,west mifflin,1539,965,2316,2608,393,1738,247,5517,1819,2284,937,273,1825,38,2691,799,498,107,10960,5024
"Bedford, OH",bedford,ohio,"Counter({'Restaurants': 121281, 'Food': 57344, 'Shopping': 52917, 'Nightlife': 32876, 'Beauty & Spas': 27880, 'Automotive': 24966, 'Home Services': 22256, 'Event Planning & Services': 21013, 'Local Services': 19513, 'Health & Medical': 17556, 'Active Life': 15697, 'Hotels & Travel': 12198, 'Arts & Entertainment': 11581, 'Pets': 9023, 'Professional Services': 5237, 'Education': 3866, 'Local Flavor': 2114, 'Financial Services': 2065, 'Religious Organizations': 725, 'Mass Media': 311})",41.3919418,-81.5363193,bedford,15697,11581,24966,27880,3866,21013,2065,57344,17556,22256,12198,2114,19513,311,32876,9023,5237,725,121281,52917
"Etobicoke, ON",etobicoke,ON,"Counter({'Restaurants': 185441, 'Food': 90088, 'Shopping': 65357, 'Beauty & Spas': 41908, 'Nightlife': 31657, 'Health & Medical': 21012, 'Event Planning & Services': 20356, 'Local Services': 18807, 'Active Life': 17229, 'Automotive': 15959, 'Home Services': 12528, 'Arts & Entertainment': 11160, 'Hotels & Travel': 10440, 'Pets': 7481, 'Professional Services': 5802, 'Education': 5200, 'Local Flavor': 2498, 'Financial Services': 2140, 'Mass Media': 420, 'Religious Organizations': 381})",43.637329,-79.5311665,etobicoke,17229,11160,15959,41908,5200,20356,2140,90088,21012,12528,10440,2498,18807,420,31657,7481,5802,381,185441,65357
"Montréal, QC",montréal,QC,"Counter({'Restaurants': 5503, 'Food': 2102, 'Shopping': 956, 'Nightlife': 894, 'Event Planning & Services': 471, 'Beauty & Spas': 406, 'Hotels & Travel': 373, 'Arts & Entertainment': 297, 'Active Life': 290, 'Health & Medical': 172, 'Local Services': 167, 'Home Services': 128, 'Automotive': 112, 'Local Flavor': 73, 'Education': 63, 'Pets': 63, 'Professional Services': 41, 'Financial Services': 13, 'Religious Organizations': 10, 'Mass Media': 4})",45.5397329,-73.633639,montréal,290,297,112,406,63,471,13,2102,172,128,373,73,167,4,894,63,41,10,5503,956
"Verona, WI",verona,wisconsin,"Counter({'Restaurants': 1704, 'Shopping': 990, 'Food': 951, 'Home Services': 508, 'Nightlife': 489, 'Beauty & Spas': 461, 'Local Services': 367, 'Automotive': 360, 'Event Planning & Services': 360, 'Health & Medical': 323, 'Active Life': 304, 'Arts & Entertainment': 180, 'Hotels & Travel': 176, 'Pets': 152, 'Professional Services': 140, 'Education': 77, 'Financial Services': 62, 'Local Flavor': 59, 'Mass Media': 13, 'Religious Organizations': 7})",42.98641991,-89.54792805,verona,304,180,360,461,77,360,62,951,323,508,176,59,367,13,489,152,140,7,1704,990
"Markham, ON",markham,ON,"Counter({'Restaurants': 370736, 'Food': 180063, 'Shopping': 130579, 'Beauty & Spas': 83763, 'Nightlife': 63289, 'Health & Medical': 41984, 'Event Planning & Services': 40678, 'Local Services': 37569, 'Active Life': 34446, 'Automotive': 31870, 'Home Services': 25026, 'Arts & Entertainment': 22314, 'Hotels & Travel': 20856, 'Pets': 14945, 'Professional Services': 11595, 'Education': 10385, 'Local Flavor': 4995, 'Financial Services': 4275, 'Mass Media': 839, 'Religious Organizations': 761})",43.84799658,-79.35373304,markham,34446,22314,31870,83763,10385,40678,4275,180063,41984,25026,20856,4995,37569,839,63289,14945,11595,761,370736,130579
"Madison, WI",madison,wisconsin,"Counter({'Restaurants': 3369, 'Shopping': 1963, 'Food': 1874, 'Home Services': 995, 'Nightlife': 961, 'Beauty & Spas': 909, 'Local Services': 718, 'Automotive': 710, 'Event Planning & Services': 710, 'Health & Medical': 641, 'Active Life': 595, 'Arts & Entertainment': 357, 'Hotels & Travel': 348, 'Pets': 296, 'Professional Services': 276, 'Education': 152, 'Financial Services': 124, 'Local Flavor': 115, 'Mass Media': 26, 'Religious Organizations': 14})",43.05418751,-89.39021804,madison,595,357,710,909,152,710,124,1874,641,995,348,115,718,26,961,296,276,14,3369,1963
"Vaughan, ON",vaughan,ON,"Counter({'Restaurants': 740701, 'Food': 359756, 'Shopping': 260948, 'Beauty & Spas': 167354, 'Nightlife': 126526, 'Health & Medical': 83908, 'Event Planning & Services': 81297, 'Local Services': 75101, 'Active Life': 68821, 'Automotive': 63651, 'Home Services': 50028, 'Arts & Entertainment': 44607, 'Hotels & Travel': 41682, 'Pets': 29865, 'Professional Services': 23187, 'Education': 20763, 'Local Flavor': 9982, 'Financial Services': 8538, 'Mass Media': 1677, 'Religious Organizations': 1519})",43.76754511,-79.56177573,vaughan,68821,44607,63651,167354,20763,81297,8538,359756,83908,50028,41682,9982,75101,1677,126526,29865,23187,1519,740701,260948
"Wexford, PA",wexford,pennsylvania,"Counter({'Restaurants': 21859, 'Food': 11005, 'Shopping': 10008, 'Nightlife': 5374, 'Beauty & Spas': 5207, 'Automotive': 4621, 'Home Services': 4552, 'Local Services': 3636, 'Health & Medical': 3633, 'Event Planning & Services': 3469, 'Active Life': 3059, 'Arts & Entertainment': 1925, 'Hotels & Travel': 1865, 'Pets': 1595, 'Professional Services': 993, 'Education': 784, 'Local Flavor': 545, 'Financial Services': 494, 'Religious Organizations': 214, 'Mass Media': 76})",40.6320526,-80.0564758,wexford,3059,1925,4621,5207,784,3469,494,11005,3633,4552,1865,545,3636,76,5374,1595,993,214,21859,10008
"Scarborough, ON",scarborough,ON,"Counter({'Restaurants': 1480844, 'Food': 719251, 'Shopping': 521742, 'Beauty & Spas': 334617, 'Nightlife': 252991, 'Health & Medical': 167787, 'Event Planning & Services': 162523, 'Local Services': 150159, 'Active Life': 137586, 'Automotive': 127264, 'Home Services': 100016, 'Arts & Entertainment': 89187, 'Hotels & Travel': 83344, 'Pets': 59721, 'Professional Services': 46356, 'Education': 41516, 'Local Flavor': 19959, 'Financial Services': 17075, 'Mass Media': 3353, 'Religious Organizations': 3037})",43.7853769,-79.2806654,scarborough,137586,89187,127264,334617,41516,162523,17075,719251,167787,100016,83344,19959,150159,3353,252991,59721,46356,3037,1480844,521742
"Hudson, OH",hudson,ohio,"Counter({'Restaurants': 238658, 'Food': 112901, 'Shopping': 104237, 'Nightlife': 64681, 'Beauty & Spas': 54954, 'Automotive': 49145, 'Home Services': 43809, 'Event Planning & Services': 41349, 'Local Services': 38460, 'Health & Medical': 34595, 'Active Life': 30935, 'Hotels & Travel': 24000, 'Arts & Entertainment': 22791, 'Pets': 17789, 'Professional Services': 10315, 'Education': 7606, 'Local Flavor': 4161, 'Financial Services': 4060, 'Religious Organizations': 1429, 'Mass Media': 611})",41.261133,-81.503467,hudson,30935,22791,49145,54954,7606,41349,4060,112901,34595,43809,24000,4161,38460,611,64681,17789,10315,1429,238658,104237
"Cuyahoga Falls, OH",cuyahoga falls,ohio,"Counter({'Restaurants': 455318, 'Food': 215408, 'Shopping': 198964, 'Nightlife': 123328, 'Beauty & Spas': 104926, 'Automotive': 93779, 'Home Services': 83572, 'Event Planning & Services': 78887, 'Local Services': 73381, 'Health & Medical': 66035, 'Active Life': 59033, 'Hotels & Travel': 45775, 'Arts & Entertainment': 43444, 'Pets': 33962, 'Professional Services': 19685, 'Education': 14507, 'Local Flavor': 7927, 'Financial Services': 7743, 'Religious Organizations': 2723, 'Mass Media': 1164})",41.1307822,-81.5079804,cuyahoga falls,59033,43444,93779,104926,14507,78887,7743,215408,66035,83572,45775,7927,73381,1164,123328,33962,19685,2723,455318,198964
"Rocky River, OH",rocky river,ohio,"Counter({'Restaurants': 935928, 'Food': 442693, 'Shopping': 408794, 'Nightlife': 253608, 'Beauty & Spas': 215493, 'Automotive': 192708, 'Home Services': 171805, 'Event Planning & Services': 162168, 'Local Services': 150784, 'Health & Medical': 135667, 'Active Life': 121280, 'Hotels & Travel': 94108, 'Arts & Entertainment': 89350, 'Pets': 69753, 'Professional Services': 40456, 'Education': 29826, 'Local Flavor': 16308, 'Financial Services': 15932, 'Religious Organizations': 5600, 'Mass Media': 2396})",41.4817445,-81.8361651,rocky river,121280,89350,192708,215493,29826,162168,15932,442693,135667,171805,94108,16308,150784,2396,253608,69753,40456,5600,935928,408794
"Canonsburg, PA",canonsburg,pennsylvania,"Counter({'Restaurants': 43662, 'Food': 21971, 'Shopping': 19977, 'Nightlife': 10731, 'Beauty & Spas': 10373, 'Automotive': 9202, 'Home Services': 9086, 'Local Services': 7256, 'Health & Medical': 7229, 'Event Planning & Services': 6929, 'Active Life': 6102, 'Arts & Entertainment': 3848, 'Hotels & Travel': 3727, 'Pets': 3175, 'Professional Services': 1983, 'Education': 1557, 'Local Flavor': 1090, 'Financial Services': 986, 'Religious Organizations': 427, 'Mass Media': 151})",40.2745375,-80.1693759,canonsburg,6102,3848,9202,10373,1557,6929,986,21971,7229,9086,3727,1090,7256,151,10731,3175,1983,427,43662,19977
"Tempe, AZ",tempe,arizona,"Counter({'Restaurants': 576359, 'Shopping': 498695, 'Home Services': 454198, 'Health & Medical': 389812, 'Beauty & Spas': 325250, 'Food': 319924, 'Local Services': 271192, 'Automotive': 243252, 'Active Life': 159260, 'Event Planning & Services': 135780, 'Professional Services': 135438, 'Nightlife': 128800, 'Arts & Entertainment': 74767, 'Hotels & Travel': 74342, 'Financial Services': 71332, 'Education': 66602, 'Pets': 65459, 'Local Flavor': 18281, 'Religious Organizations': 11363, 'Mass Media': 5629})",33.3832079,-111.927103,tempe,159260,74767,243252,325250,66602,135780,71332,319924,389812,454198,74342,18281,271192,5629,128800,65459,135438,11363,576359,498695
